split;category;search by;search for
components;direct - non-exhaust;name;tyre wear emissions, passenger car
components;direct - non-exhaust;name;road wear emissions, passenger car
components;direct - non-exhaust;name;brake wear emissions, passenger car
components;energy chain;name;fuel supply
components;energy chain;name;electricity supply
components;maintenance;name;market for maintenance
components;glider;name;market for glider
components;glider;name;glider lightweighting
components;glider;name;motor scooter production
components;EoL;name;market for manual dismantling of used
components;EoL;name;market for used powertrain
components;EoL;name;market for used li-ion battery
components;powertrain;name;charger
components;powertrain;name;inverter
components;powertrain;name;converter
components;powertrain;name;electric motor
components;powertrain;name;power distribution unit
components;powertrain;name;internal combustion engine
components;energy storage;name;battery bop
components;energy storage;name;battery cell
components;energy storage;name;polyethylene production, high density
components;energy storage;name;glass fibre reinforced plastic production
components;energy storage;name;electricity market for energy storage production
components;road;name;road
components;road;name;market for charger
