time (s);Kick-scooter;Bicycle <25km;Bicycle <45km;Bicycle cargo;Moped <4kW;Scooter <4kW;Scooter 4-11kW;Motorcycle 4-11kW;Motorcycle 11-35kW;Motorcycle >35kW
1;5.5;5.5;5.5;5.5;0;0;0;0;0;0
2;5.5;5.5;5.5;5.5;0;0;0;0;0;0
3;5.5;5.5;5.5;5.5;0;0;0;0;0;0
4;5.5;5.5;5.5;5.5;0;0;0;0;0;0
5;5.5;5.5;5.5;5.5;0;0;0;0;0;0
6;5.5;5.5;5.5;5.5;0;0;0;0;0;0
7;5.5;5.5;5.5;5.5;0;0;0;0;0;0
8;5.5;5.5;5.5;5.5;0;0;0;0;0;0
9;5.5;5.5;5.5;5.5;0;0;0;0;0;0
10;5.5;5.5;5.5;5.5;0;0;0;0;0;0
11;5.5;5.5;5.5;5.5;0;0;0;0;0;0
12;5.5;5.5;5.5;5.5;0;0;0;0;0;0
13;5.5;5.5;5.5;5.5;0;0;0;0;0;0
14;5.5;5.5;5.5;5.5;0;0;0;0;0;0
15;5.5;5.5;5.5;5.5;0;0;0;0;0;0
16;5.5;5.5;5.5;5.5;0;0;0;0;0;0
17;5.5;5.5;5.5;5.5;0;0;0;0;0;0
18;5.5;5.5;5.5;5.5;0;0;0;0;0;0
19;5.5;5.5;5.5;5.5;0;0;0;0;0;0
20;5.5;5.5;5.5;5.5;0;0;0;0;0;0
21;5.5;5.5;5.5;5.5;0;0;0;0;0;0
22;5.5;5.5;5.5;5.5;1;1;1;1;1;1
23;5.5;5.5;5.5;5.5;2.6;2.6;2.6;2.6;2.6;2.6
24;16.2;16.2;16.2;16.2;4.8;4.8;4.8;4.8;4.8;4.8
25;16.2;16.2;16.2;16.2;7.2;7.2;7.2;7.2;7.2;7.2
26;21.6;21.6;21.6;21.6;9.6;9.6;9.6;9.6;9.6;9.6
27;31.2;31.2;31.2;31.2;12;12;12;12;12;12
28;31.2;31.2;31.2;31.2;14.3;14.3;14.3;14.3;14.3;14.3
29;31.2;31.2;31.2;31.2;16.6;16.6;16.6;16.6;16.6;16.6
30;31.2;31.2;31.2;31.2;18.9;18.9;18.9;18.9;18.9;18.9
31;31.2;31.2;31.2;31.2;21.2;21.2;21.2;21.2;21.2;21.2
32;31.2;31.2;31.2;31.2;23.5;23.5;23.5;23.5;23.5;23.5
33;28.8;28.8;28.8;28.8;25.6;25.6;25.6;25.6;25.6;25.6
34;30.6;30.6;30.6;30.6;27.1;27.1;27.1;27.1;27.1;27.1
35;30.6;30.6;30.6;30.6;28;28;28;28;28;28
36;31.3;31.3;31.3;31.3;28.7;28.7;28.7;28.7;28.7;28.7
37;31.3;31.3;31.3;31.3;29.2;29.2;29.2;29.2;29.2;29.2
38;31.3;31.3;31.3;31.3;29.8;29.8;29.8;29.8;29.8;29.8
39;31.3;31.3;31.3;31.3;30.3;30.3;30.3;30.3;30.4;30.4
40;31.3;31.3;31.3;31.3;29.6;29.6;29.6;29.6;29.6;29.6
41;31.3;31.3;31.3;31.3;28.7;28.7;28.7;28.7;28.7;28.7
42;31.3;31.3;31.3;31.3;27.9;27.9;27.9;27.9;27.9;27.9
43;31.3;31.3;31.3;31.3;27.4;27.4;27.4;27.4;27.5;27.5
44;31.3;31.3;31.3;31.3;27.3;27.3;27.3;27.3;27.3;27.3
45;31.3;31.3;31.3;31.3;27.3;27.3;27.3;27.3;27.4;27.4
46;25.2;25.2;25.2;25.2;27.4;27.4;27.4;27.4;27.5;27.5
47;21.6;21.6;21.6;21.6;27.5;27.5;27.5;27.5;27.6;27.6
48;21.6;21.6;21.6;21.6;27.6;27.6;27.6;27.6;27.6;27.6
49;21.6;21.6;21.6;21.6;27.6;27.6;27.6;27.6;27.6;27.6
50;21.6;21.6;21.6;21.6;27.6;27.6;27.6;27.6;27.7;27.7
51;21.6;21.6;21.6;21.6;27.8;27.8;27.8;27.8;27.8;27.8
52;21.6;21.6;21.6;21.6;28.1;28.1;28.1;28.1;28.1;28.1
53;21.6;21.6;21.6;21.6;28.5;28.5;28.5;28.5;28.6;28.6
54;21.6;21.6;21.6;21.6;28.9;28.9;28.9;28.9;29;29
55;21.6;21.6;21.6;21.6;29.2;29.2;29.2;29.2;29.2;29.2
56;21.6;21.6;21.6;21.6;29.4;29.4;29.4;29.4;29.5;29.5
57;21.6;21.6;21.6;21.6;29.7;29.7;29.7;29.7;29.7;29.7
58;21.6;21.6;21.6;21.6;30;30;30;30;30.1;30.1
59;21.6;21.6;21.6;21.6;30.5;30.5;30.5;30.5;30.5;30.5
60;21.6;21.6;21.6;21.6;30.6;30.6;30.6;30.6;30.7;30.7
61;21.6;21.6;21.6;21.6;29.6;29.6;29.6;29.6;29.7;29.7
62;21.6;21.6;21.6;21.6;26.9;26.9;26.9;26.9;27;27
63;21.6;21.6;21.6;21.6;23;23;23;23;23;23
64;21.6;21.6;21.6;21.6;18.6;18.6;18.6;18.6;18.7;18.7
65;21.6;21.6;21.6;21.6;14.1;14.1;14.1;14.1;14.2;14.2
66;21.6;21.6;21.6;21.6;9.3;9.3;9.3;9.3;9.4;9.4
67;25.7;25.7;25.7;25.7;4.8;4.8;4.8;4.8;4.9;4.9
68;25.7;25.7;25.7;25.7;1.9;1.9;1.9;1.9;2;2
69;25.7;25.7;25.7;25.7;0;0;0;0;0;0
70;25.7;25.7;25.7;25.7;0;0;0;0;0;0
71;25.7;25.7;25.7;25.7;0;0;0;0;0;0
72;25.7;25.7;25.7;25.7;0;0;0;0;0;0
73;25.7;25.7;25.7;25.7;0;0;0;0;0;0
74;26.6;26.6;26.6;26.6;1.7;1.7;1.7;1.7;1.7;1.7
75;26.6;26.6;26.6;26.6;5.8;5.8;5.8;5.8;5.8;5.8
76;26.6;26.6;26.6;26.6;11.8;11.8;11.8;11.8;11.8;11.8
77;26.6;26.6;26.6;26.6;17.3;17.3;17.3;17.3;18.3;18.3
78;26.6;26.6;26.6;26.6;22;22;22;22;24.5;24.5
79;26.6;26.6;26.6;26.6;26.2;26.2;26.2;26.2;29.4;29.4
80;26.6;26.6;26.6;26.6;29.4;29.4;29.4;29.4;32.5;32.5
81;26.6;26.6;26.6;26.6;31.1;31.1;31.1;31.1;34.2;34.2
82;26.6;26.6;26.6;26.6;32.9;32.9;32.9;32.9;34.4;34.4
83;26.6;26.6;26.6;26.6;34.7;34.7;34.7;34.7;34.5;34.5
84;22.2;22.2;22.2;22.2;34.8;34.8;34.8;34.8;34.6;34.6
85;22.2;22.2;22.2;22.2;34.8;34.8;34.8;34.8;34.7;34.7
86;22.2;22.2;22.2;22.2;34.9;34.9;34.9;34.9;34.8;34.8
87;22.2;22.2;22.2;22.2;35.4;35.4;35.4;35.4;35.2;35.2
88;22.2;22.2;22.2;22.2;36.2;36.2;36.2;36.2;36;36
89;22.2;22.2;22.2;22.2;37.1;37.1;37.1;37.1;37;37
90;22.2;22.2;22.2;22.2;38;38;38;38;37.9;37.9
91;22.2;22.2;22.2;22.2;38.7;38.7;38.7;38.7;38.6;38.6
92;22.2;22.2;22.2;22.2;38.9;38.9;38.9;38.9;38.8;38.8
93;22.2;22.2;22.2;22.2;38.9;38.9;38.9;38.9;38.8;38.8
94;22.2;22.2;22.2;22.2;38.8;38.8;38.8;38.8;38.7;38.7
95;22.2;22.2;22.2;22.2;38.5;38.5;38.5;38.5;38.5;38.5
96;22.2;22.2;22.2;22.2;38.1;38.1;38.1;38.1;38;38
97;22.2;22.2;22.2;22.2;37.5;37.5;37.5;37.5;37.4;37.4
98;22.2;22.2;22.2;22.2;37;37;37;37;36.9;36.9
99;22.2;22.2;22.2;22.2;36.7;36.7;36.7;36.7;36.6;36.6
100;22.2;22.2;22.2;22.2;36.5;36.5;36.5;36.5;36.4;36.4
101;22.2;22.2;22.2;22.2;36.5;36.5;36.5;36.5;36.4;36.4
102;22.2;22.2;22.2;22.2;36.6;36.6;36.6;36.6;36.5;36.5
103;22.2;22.2;22.2;22.2;36.8;36.8;36.8;36.8;36.7;36.7
104;22.2;22.2;22.2;22.2;37;37;37;37;36.9;36.9
105;22.2;22.2;22.2;22.2;37.1;37.1;37.1;37.1;37;37
106;22.2;22.2;22.2;22.2;37.3;37.3;37.3;37.3;37.2;37.2
107;22.2;22.2;22.2;22.2;37.4;37.4;37.4;37.4;37.3;37.3
108;22.2;22.2;22.2;22.2;37.5;37.5;37.5;37.5;37.4;37.4
109;22.2;22.2;22.2;22.2;37.4;37.4;37.4;37.4;37.3;37.3
110;22.2;22.2;22.2;22.2;36.9;36.9;36.9;36.9;36.8;36.8
111;22.2;22.2;22.2;22.2;36;36;36;36;35.8;35.8
