Gram/vehicle-kilometer,CO2,"CO2, bio",SO2,CH4,CO,N2O,NH3,NOx,PM2.5,NMVOC
"Scooter, gasoline, <4kW, EURO-3",101.692,0.000,0.001,0.038,4.022,0.002,0.002,0.145,0.011,0.676
"Scooter, gasoline, <4kW, EURO-4",95.935,0.000,0.000,0.036,3.794,0.002,0.002,0.137,0.010,0.638
"Scooter, gasoline, <4kW, EURO-5",94.976,0.000,0.000,0.036,3.756,0.002,0.002,0.135,0.010,0.632
"Scooter, gasoline, 4-11kW, EURO-3",77.060,0.936,0.000,0.029,3.418,0.001,0.001,0.111,0.003,0.308
"Scooter, gasoline, 4-11kW, EURO-4",76.297,0.927,0.000,0.029,3.384,0.001,0.001,0.110,0.003,0.305
"Scooter, gasoline, 4-11kW, EURO-5",75.534,0.917,0.000,0.029,3.350,0.001,0.001,0.109,0.003,0.302
"Motorbike, gasoline, 4-11kW, EURO-3",74.724,0.908,0.000,0.050,0.703,0.002,0.002,0.096,0.004,0.029
"Motorbike, gasoline, 4-11kW, EURO-4",73.984,0.899,0.000,0.056,0.822,0.002,0.002,0.027,0.005,0.042
"Motorbike, gasoline, 4-11kW, EURO-5",73.244,0.890,0.000,0.056,0.712,0.002,0.002,0.018,0.005,0.024
"Motorbike, gasoline, 11-35kW, EURO-3",108.381,1.316,0.001,0.022,0.221,0.001,0.001,0.026,0.002,0.044
"Motorbike, gasoline, 11-35kW, EURO-4",107.308,1.303,0.001,0.028,0.140,0.001,0.001,0.014,0.002,0.015
"Motorbike, gasoline, 11-35kW, EURO-5",106.235,1.29,0.001,0.027,0.122,0.001,0.001,0.009,0.002,0.009
"Motorbike, gasoline, >35kW, EURO-3",143.714,1.746,0.001,0.017,0.294,0.001,0.001,0.031,0.002,0.058
"Motorbike, gasoline, >35kW, EURO-4",142.292,1.728,0.001,0.021,0.186,0.001,0.001,0.014,0.003,0.020
"Motorbike, gasoline, >35kW, EURO-5",140.869,1.711,0.001,0.021,0.161,0.001,0.001,0.009,0.003,0.012
