"|g-scooters-img|","Scooter, gasoline, <4 kW, EURO-3 - 2006","Scooter, gasoline, <4 kW, EURO-4 - 2016","Scooter, gasoline, <4 kW, EURO-5 - 2020","Scooter, gasoline, 4-11 kW EURO-3 - 2006","Scooter, gasoline, 4-11 kW EURO-4 - 2016","Scooter, gasoline, 4-11 kW EURO-5 - 2006",Comment,Source
Lifetime [km],25’000,25’000,25’000,30’000,30’000,30’000,"See :ref:`Table 6 <table-6>`.",":cite:`ct-1003,ct-1060`"
Annual kilometers [km],1’570,1’570,1’570,1’870,1’870,1’870,,
Energy consumption [MJ/km] (L gasoline/100 km),1.38 (3.25),1.3 (3.07),1.29 (3.04),1.06 (2.5),1.05 (2.47),1.04 (2.45),"Energy consumption is calculated from actual usage values reported to :cite:`ct-1092`, based on a sample of 165 vehicles representing over 6.6 million kilometers.",":cite:`ct-1092`"
Passenger mass [kg],75,75,75,75,75,75,Standard assumption.,
Cargo mass [kg],4,4,4,4,4,4,,
Curb mass [kg],94,92,91,133,131,130,Based on manufacturers’ data.,"Peugeot, Piaggio, NRG"
Driving mass [kg],173,171,171,212,210,209,Calculated.,
Power [kW],2.8,2.8,2.8,8.8,8.8,8.8,Based on manufacturers’ data.,"Peugeot, Piaggio, NRG"
Range autonomy [km],160,170,173,270,273,276,Calculated.,
Servicing per lifetime [unit],1,1,1,1,1,1,The original ecoinvent dataset for maintenance for motor scooters is valid for the vehicle's entire lifetime.,":cite:`ct-1047`"
