"|g-motorbikes-img|","Motorbike, gasoline, 11-35 kW, EURO-3 - 2006","Motorbike, gasoline, 11-35 kW, EURO-4 - 2016","Motorbike, gasoline, 11-35 kW, EURO-5 - 2020",Comment,Source
Lifetime [km],38’500,38’500,38’500,"See :ref:`Table 10 <table-10>`.",":cite:`ct-1003, ct-1033`"
Annual kilometers [km],2’405,2’405,2’405,,
Energy consumption [MJ/km] (L gasoline/100 km),1.49 (3.51),1.47 (3.48),1.46 (3.44),"Energy consumption is calculated from actual usage values reported to :cite:`ct-1092`, based on a sample of 138 vehicles representing over 6.7 million kilometers.",
Passenger mass [kg],75,75,75,Standard assumption.,
Number of passengers [unit],1.1,1.1,1.1,,
Cargo mass [kg],6,6,6,,
Curb mass [kg],160,158,156,Based on manufacturers’ data.,
Driving mass [kg],248,246,244,Calculated.,
Power [kW],20,20,20,Based on manufacturers’ data.,
Range autonomy [km],327,330,334,Calculated.,
Servicing per lifetime [unit],1.54,1.54,1.54,The original ecoinvent dataset for maintenance for motor scooters is valid for a vehicle lifetime of 25’000 km.,":cite:`ct-1048`"
